,imodulon,gene_ontology,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size
0,Nitrogen,regulation of nitrogen utilization,3.03E-05,0.011354862,1,0.060606061,0.114285714,2,2,33
1,Nitrogen,phosphorelay signal transduction system,0.000447871,0.083975847,0.333333333,0.060606061,0.102564103,2,6,33
2,1,biological_process,7.29E-05,0.027327094,0.025773196,0.454545455,0.048780488,40,1552,88
3,1,glycerol metabolic process,0.000219527,0.035846999,1,0.022727273,0.044444444,2,2,88
4,1,molecular_function,0.000286776,0.035846999,0.024316109,0.454545455,0.046162724,40,1645,88
5,Sulfur-1,ATPase-coupled transmembrane transporter activity,1.26E-05,0.004727502,0.166666667,0.080645161,0.108695652,5,30,62
6,5,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor",1.86E-05,0.006989261,1,0.076923077,0.142857143,2,2,26
7,Resistance,drug transmembrane transport,0.000263331,0.032916405,0.666666667,0.035714286,0.06779661,2,3,56
8,Resistance,response to drug,8.83E-05,0.032916405,1,0.035714286,0.068965517,2,2,56
9,Resistance,xenobiotic transmembrane transporter activity,0.000263331,0.032916405,0.666666667,0.035714286,0.06779661,2,3,56
10,17,cellular_component,0.000200636,0.075238527,0.014431239,0.472222222,0.02800659,17,1178,36
11,Phage,structural molecule activity,9.88E-05,0.037065641,0.25,0.063829787,0.101694915,3,12,47
12,Protocatechuate,"3,4-dihydroxybenzoate metabolic process",4.47E-06,0.000838711,1,0.153846154,0.266666667,2,2,13
13,Protocatechuate,"protocatechuate 3,4-dioxygenase activity",4.47E-06,0.000838711,1,0.153846154,0.266666667,2,2,13
14,28,cellular_component,1.09E-06,0.000408249,0.021222411,0.510204082,0.040749796,25,1178,49
15,28,biological_process,1.63E-05,0.002043592,0.017396907,0.551020408,0.033728919,27,1552,49
16,28,molecular_function,1.48E-05,0.002043592,0.017021277,0.571428571,0.033057851,28,1645,49
17,Folate,sarcosine oxidase activity,2.49E-12,9.33E-10,1,0.444444444,0.615384615,4,4,9
18,Flagella-2,bacterial-type flagellum,3.82E-05,0.014322609,1,0.054054054,0.102564103,2,2,37
19,T3SS,protein binding,2.77E-07,0.000103991,1,0.02919708,0.056737589,4,6,137
20,Glycan,biological_process,6.33E-06,0.002373719,0.06314433,0.387351779,0.108587258,98,1552,253
21,Glycan,molecular_function,1.52E-05,0.002850612,0.061398176,0.399209486,0.106427819,101,1645,253
22,Glycan,cellular_component,0.000565972,0.070746501,0.061120543,0.28458498,0.100628931,72,1178,253