,P. syringae monoculture,,,,,,P. syringae - C. violaceum coculture,,,,,,P. syringae - B. thailandensis coculture,,,,,,P. syringae - C. violaceum - B. thailandensis coculture,,,,,
,12.5,25,30,35,40,45,12.5,25,30,35,40,45,12.5,25,30,35,40,45,12.5,25,30,35,40,45
Chemotaxis,-3.47E-18,-3.648824055,-4.513425035,-5.346543896,-8.339195253,-7.108449671,-7.420132889,-5.704758495,-6.135066872,-7.91671056,-8.289309001,-8.059496126,-6.538574003,-11.93956013,-9.773225152,-8.81865462,-10.41184241,-6.152470907,-15.88833652,-12.00285544,-9.754510386,-8.694513163,-14.76452219,-10.30051985
Recombination,-2.50E-11,12.3573616,14.6589702,12.07192663,11.32345455,10.4907855,-1.945144364,16.60842417,18.86945358,21.81936777,23.7857456,23.10204459,12.67481133,16.2394632,20.17006044,22.4708536,24.16054336,27.87524935,2.824959574,28.39282872,20.02185138,22.02280743,25.83436874,25.51970116
Unchar-9,2.50E-11,-0.626749355,-0.408529375,-1.202236585,-1.388365153,-1.752011495,-5.179359764,-8.413013333,-8.205900105,-8.561168789,-8.299707228,-7.964937996,-4.28305446,-11.12280809,-14.12814742,-16.51894594,-16.86136243,-18.57035349,-7.108382352,-21.11580836,-22.2660438,-23.82847086,-23.95217808,-24.17282346
Resistance-1,-2.50E-11,-0.010511948,-0.210266738,0.126172932,0.040668885,0.227659445,-1.226252139,0.491650335,1.347510515,1.736077364,2.385104531,3.111653131,5.797456108,10.35142211,13.31004742,15.67385388,16.66595825,18.40547289,1.637674372,15.39088052,13.80731278,15.255102,16.27722813,16.44893569
Sulfur-2,5.55E-17,3.280638925,2.577829471,3.526437041,1.521496522,3.217859332,-1.464147347,1.561154626,0.179517791,-0.966567128,-1.910868666,2.450003071,-24.19339692,-23.2243611,-19.79661496,-17.36599748,-17.70148122,-11.77353936,-21.27505438,-25.23379151,-19.02366167,-13.93134335,-10.34887514,-5.964747725
Unchar-6,-2.50E-11,2.397269326,3.649167526,0.210312783,2.9753636,3.093442305,2.069947178,1.866257269,1.097895831,2.470091173,-2.524856322,2.872952459,0.681228486,9.483570508,11.40520502,13.08990273,11.14724977,5.137505909,3.270857833,11.49359407,6.34639943,11.24140395,13.18276501,12.82831828
Transport,2.22E-16,-22.17064699,-24.5861237,-20.74777228,-19.17148771,-18.63303641,-27.36900205,-25.61236862,-26.36418941,-27.46977818,-28.56114624,-28.62867554,-28.03797651,-29.24273289,-31.05329259,-31.34498934,-31.35074438,-31.06739861,-27.61899213,-32.3536512,-29.00505658,-29.53143151,-30.50929471,-29.89426285
Chaperone,-2.50E-11,2.728433827,2.463219959,1.192224878,-1.391602591,-0.286117937,-1.728154295,2.251668677,2.074361439,1.631538252,1.731794915,2.957747602,-22.64447295,-3.383174636,1.459742042,2.880118638,3.722583026,4.223592758,-22.28864861,4.892207961,-2.259897612,0.42511789,4.213954789,3.931454956
Coronatine,0,-2.219479405,-2.693895222,-2.600846509,-2.361362983,-2.681412142,-2.730910363,-2.254438729,-2.092080199,-1.616075424,-1.297159967,-1.787576465,-8.897508717,-9.752593248,-10.68470719,-10.60414866,-10.46803922,-10.38458614,-9.802445721,-9.681668166,-10.23185656,-10.62486176,-10.04242846,-10.29569993
Unchar-8,0,-3.887373911,-2.287981584,-1.806062444,-4.489726167,-3.113222765,-3.762047877,-1.930669804,-0.160432855,-4.467717753,-6.354265118,-7.921102284,-22.53071864,-22.16262238,-16.7150674,-14.27375319,-14.39583194,-11.20435171,-14.65745198,-12.78893635,-14.53820802,-14.25432101,-15.13519551,-13.0219811
Translation-2,-5.55E-17,-6.863908668,-5.767279015,-4.094462958,-6.041506248,-1.179708488,-2.879061602,-12.64094805,-11.80919771,-13.66273144,-13.69509921,-8.835630636,5.714455534,7.052355528,3.451889472,1.216423527,-1.619965823,-3.110557412,22.22816908,-5.448736154,2.329208306,1.544594769,-3.548743108,-1.728207962
Fe/Protein Transport,-5.55E-17,-0.241826172,-0.665769118,-0.630627527,0.816619765,-0.32492699,5.378971884,3.497434998,3.575036173,3.386301721,3.254031565,3.754043606,-10.32711462,-1.205397733,-3.23178336,-5.038810967,-5.794588777,-11.13265022,10.44854912,-6.137565663,-2.018338986,-2.239148457,1.459246002,-4.901825625
Carb Starvation-2,0,-2.859838005,-3.727991838,-3.318622497,-3.041978408,-3.545828922,-4.754921946,-3.120357139,-3.959298759,-3.34491676,-3.928734963,-5.202288201,-13.51167725,-11.68226231,-12.65014614,-12.33494157,-11.6813239,-13.12921036,-13.20777553,-11.94393644,-12.28376163,-12.17743289,-10.19849766,-10.8767484
Flagella-2,-2.50E-11,-2.575819856,-2.056637231,-0.998828275,-2.25374564,-1.632505139,-1.691498355,-3.058726544,-3.50231031,-4.130687997,-4.820011153,-5.419329397,-6.450311884,-6.251293531,-7.887437561,-9.286040657,-8.952825131,-11.67126917,-1.67324509,-8.814270644,-7.392180283,-8.487371604,-8.217616473,-8.808216334
Yersiniabactin,0,-0.72353763,-2.478443052,-2.324744999,-1.301792682,-1.701436408,-1.394855252,0.503635896,-0.677872304,-0.174202545,-0.903896912,-1.133346533,-46.2944456,-46.75073695,-50.63313741,-52.65627126,-53.49455939,-56.86367463,-30.37764085,-51.86564647,-51.60884067,-52.54660334,-52.57888189,-54.64300718
Osmotic Stress,-2.08E-17,-0.703020455,-0.941466871,-0.211083202,1.391049114,0.584270037,-3.346668254,-0.919829385,-1.423417279,-1.187898127,-1.220043604,-2.708177848,-12.71123917,-14.0158772,-13.52718272,-13.26256321,-13.30708582,-13.37939623,-14.72600942,-11.26757716,-12.89284754,-13.58947161,-13.39273551,-13.27810236
Fatty Acid,1.60E-17,2.501442517,3.253395518,3.472987113,3.047216599,4.867582655,-0.624037458,0.439109257,0.967728495,1.746772946,2.812757368,6.250176449,8.244704411,15.79381727,19.00226884,21.17767741,24.31064865,19.57639524,4.123723309,13.36337289,12.84228129,16.1434241,22.4547754,20.86156885
Carb Starvation-1,0,-1.120356236,-0.126547489,1.627604616,2.249744671,2.23979548,-4.742082537,-0.146899228,-0.963582927,-1.372176737,-2.733013101,-2.979986745,-14.12562266,-10.2616799,-11.19258831,-12.55581987,-12.82802758,-14.15305179,-9.493540805,-14.33654422,-11.64948336,-11.536165,-14.01881153,-14.14511957
Folate,0,7.53616147,8.660650768,7.312547839,6.011767422,6.358609958,0.489383145,10.38303212,12.38070848,13.45462341,14.58425517,17.12258087,2.987792882,2.03265839,1.571238688,2.817650036,3.489379091,4.099063218,2.426748503,6.817094683,3.079312711,3.440349737,4.375240876,5.162100398
Pyoverdine,4.50E-18,1.678198485,1.492650591,1.445813619,3.750481357,2.196204237,4.751204013,5.594062475,5.49598557,5.310809304,4.839567186,3.053212569,-37.00315223,-31.65080655,-34.38364867,-35.38457411,-35.29711981,-37.30205218,-3.89500624,-34.75281226,-32.80386435,-32.6327613,-31.73029568,-33.37766322
Unchar-7,0,-1.383672136,-1.432147551,-0.734636367,-1.112644408,-0.104313793,-0.085557043,-2.478240307,-3.004720083,-3.395460115,-6.183126251,-4.655845241,16.25244522,11.69728875,0.21626102,-5.192042193,-7.306987563,-13.8583275,19.31042474,-4.574187244,-0.969771108,-2.211199524,-6.392180239,-6.646483568
Flagella-1,-2.78E-17,4.302136594,5.268280446,4.043529811,1.332240594,3.779673214,-2.774850744,2.914657202,3.5350166,3.70943493,4.425554795,7.909142735,-16.2868861,-22.37491039,-23.53522649,-25.06638657,-23.46639496,-29.36053949,-14.45182819,-22.87389557,-14.60247794,-15.20164244,-11.44386799,-11.26924364
Translation-1,4.16E-17,-4.463445984,-4.998012045,-2.803227016,-2.778573957,-2.409528158,5.135805385,-5.287694298,-5.111306342,-5.695788481,-6.303375892,-7.080043573,17.11791369,12.79576052,12.32601141,10.52357143,10.61766855,7.785924336,29.98963083,6.320672642,13.74861695,12.81330486,11.49269459,10.35300848
T3SS,-2.78E-17,-7.645617428,-8.247537775,-8.764275946,-8.666118389,-9.250875945,-10.6647783,-10.56858163,-10.42801428,-10.03028063,-9.837820914,-9.636643263,-11.05318383,-12.66361442,-11.90792945,-12.49966695,-12.29684976,-12.03226219,-14.59204673,-9.352231679,-12.18096094,-12.67853169,-11.98221575,-12.68483785
AlgU,-2.78E-17,-1.859971372,-1.207137982,1.404609799,0.510931826,1.707545276,-5.471310521,-5.304203194,-6.246734251,-6.786773385,-6.976066096,-8.462551629,11.87742738,11.55794203,15.16590736,16.27904975,16.3449502,17.95597603,-7.438991712,13.80275118,16.819263,16.1014441,13.53095807,13.95483583
Resistance-2,0,0.624569306,0.371289866,-1.347469534,-2.548184228,-1.599739689,8.257233706,15.12886811,15.97791039,15.42552338,15.25812911,17.16870923,21.03629313,23.16287014,25.80334527,26.59203261,26.96465535,26.93280603,15.45411221,26.00957492,25.04463476,25.48082165,26.24293997,26.50492918
Unchar-5,1.11E-16,-4.04970332,-2.627514746,-4.219070931,-2.882816041,-3.826887257,2.498689876,-4.152170985,-3.201819114,-3.350449563,-2.497775896,-2.549477247,12.08410235,2.962957543,5.439756562,3.497405518,2.766023662,1.463727294,3.695022438,20.26748677,3.319184137,1.781207214,3.963548466,0.04378499
Fe-S/Oxidative Stress,0,2.317759078,3.192835631,2.513557464,3.477387929,2.493839489,6.972630074,5.660063518,6.021072848,6.3077228,6.734685254,5.04660765,19.20693444,18.115413,16.41115257,15.74229642,15.76315171,14.7306019,19.51390092,19.35960027,12.22421975,12.16815931,15.09116036,14.73342357
